date,average sentiment
2022-03-15,0.26255
2022-03-16,-0.08146
2022-03-17,0.25944
2022-03-18,-0.03648
2022-03-19,0.083495
2022-03-20,0.14589999999999997
2022-03-21,0.081485
2022-03-22,-0.010020000000000006
2022-03-23,0.227675
2022-03-24,-0.06297499999999999
2022-03-25,0.035545
2022-03-26,0.091805
2022-03-27,0.04206000000000001
2022-03-28,0.12072000000000001
2022-03-29,0.09191
2022-03-30,0.16609000000000002
2022-03-31,0.13038
2022-04-01,0.23054000000000002
2022-04-02,0.39359500000000003
2022-04-03,0.10508500000000001
2022-04-04,-0.0636
2022-04-05,-0.027414999999999988
2022-04-06,0.197995
2022-04-07,0.09925500000000001
2022-04-08,0.086165
2022-04-09,-0.056385000000000005
2022-04-10,0.21544
2022-04-11,-0.030974999999999985
2022-04-12,0.291435
2022-04-13,-0.0035550000000000082
2022-04-14,0.21381
2022-04-15,-0.05003000000000002
2022-04-16,0.15070999999999998
2022-04-17,0.12550500000000003
2022-04-18,0.120675
2022-04-19,-0.10284
2022-04-20,-0.147225
2022-04-21,0.20554
2022-04-22,0.18677000000000002
2022-04-23,-0.019555000000000006
2022-04-24,-0.008514999999999998
2022-04-25,-0.17121499999999998
2022-04-26,-0.0316
2022-04-27,0.297865
2022-04-28,0.14903
2022-04-29,0.12923
2022-04-30,-0.085505
2022-05-01,0.020049999999999995
2022-05-02,-0.07677
2022-05-03,-0.220295
2022-05-04,0.13213999999999998
2022-05-05,0.139285
2022-05-06,0.188245
2022-05-07,0.19854500000000003
2022-05-08,0.09742500000000001
2022-05-09,0.050409999999999996
2022-05-10,0.234635
2022-05-11,0.29519
2022-05-12,0.024604999999999988
2022-05-13,0.042275
2022-05-14,0.17343
2022-05-15,0.07599500000000001
2022-05-16,0.04712999999999999
2022-05-17,0.25636000000000003
2022-05-18,0.26546
2022-05-19,0.274965
2022-05-20,-0.019675000000000005
2022-05-21,0.05825
2022-05-22,0.153755
2022-05-23,0.13650500000000002
2022-05-24,-0.22189
2022-05-25,-0.33345
2022-05-26,-0.15256999999999998
2022-05-27,0.024274999999999994
2022-05-28,-0.19176500000000002
